,stock_id,mfs_score,buy_price,sell_price,lowest_price,highest_price,buy_date,sell_date,profit(%),MAE,BMFE,GMFE
38,3264.0,78.0,27.9,30.35,27.8,30.7,2015-03-11,2015-04-01,8.781362007168457,0.3584229390680927,0.0,10.035842293906812
39,1104.0,77.0,28.0,29.5,28.0,30.25,2015-03-11,2015-04-01,5.35714285714286,0.0,0.0,8.035714285714286
40,9943.0,83.0,42.85,43.55,42.85,43.9,2015-04-01,2015-04-10,1.6336056009334854,0.0,1.166861143523921,2.4504084014002268
41,3005.0,82.0,19.2,19.05,19.05,19.7,2015-04-01,2015-04-10,-0.7812499999999889,0.7812499999999927,2.604166666666667,2.604166666666667
42,2548.0,81.0,63.5,67.0,63.5,67.6,2015-04-01,2015-04-10,5.5118110236220375,0.0,1.259842519685035,6.456692913385818
43,1532.0,80.0,30.8,31.65,30.7,31.65,2015-04-01,2015-04-10,2.759740259740262,0.3246753246753293,0.649350649350647,2.7597402597402527
44,3607.0,80.0,73.5,78.9,73.5,80.0,2015-04-01,2015-04-10,7.346938775510203,0.0,0.0,8.843537414965986
45,8131.0,79.0,23.05,24.1,23.05,25.0,2015-04-01,2015-04-10,4.555314533622568,0.0,0.0,8.45986984815618
46,2303.0,78.0,15.25,15.25,15.25,15.8,2015-04-01,2015-04-10,0.0,0.0,3.6065573770491848,3.6065573770491848
47,5522.0,78.0,36.2,36.4,35.85,36.4,2015-04-01,2015-04-10,0.5524861878452914,0.9668508287292856,0.0,0.552486187845292
48,3376.0,78.0,82.6,80.5,80.5,84.3,2015-04-01,2015-04-10,-2.542372881355925,2.542372881355925,2.0581113801452817,2.0581113801452817
49,2911.0,78.0,16.5,17.1,16.45,17.1,2015-04-01,2015-04-10,3.6363636363636376,0.3030303030303073,0.3030303030303073,3.636363636363645
50,3005.0,87.0,19.4,19.55,18.3,19.7,2015-04-13,2015-05-15,0.7731958762886793,5.670103092783495,1.5463917525773232,1.5463917525773232
51,1532.0,85.0,32.0,30.1,30.1,32.4,2015-04-13,2015-05-15,-5.937499999999996,5.937499999999996,1.2499999999999956,1.2499999999999956
52,3607.0,85.0,78.2,71.2,71.2,79.3,2015-04-13,2015-05-15,-8.951406649616366,8.951406649616368,1.4066496163682791,1.4066496163682791
53,3376.0,83.0,82.4,92.6,80.0,92.9,2015-04-13,2015-05-15,12.378640776699012,2.912621359223308,0.0,12.74271844660194
54,8131.0,83.0,24.55,24.25,22.9,25.3,2015-04-13,2015-05-15,-1.2219959266802527,6.720977596741353,3.054989816700611,3.054989816700611
55,2303.0,83.0,15.25,13.75,13.75,15.25,2015-04-13,2015-05-15,-9.836065573770492,9.836065573770492,0.0,0.0
